区分,都道府県,24年件数,23年件数,増減率
強盗,札幌方面,30,24,6
強盗,函館方面,3,4,-1
強盗,旭川方面,6,4,2
強盗,釧路方面,3,12,-9
強盗,北見方面,0,1,-1
強盗,青森県,3,3,0
強盗,岩手県,9,8,1
強盗,宮城県,26,20,6
強盗,秋田県,2,2,0
強盗,山形県,3,1,2
強盗,福島県,12,6,6
強盗,東京都,276,235,41
強盗,茨城県,32,36,-4
強盗,栃木県,21,14,7
強盗,群馬県,11,16,-5
強盗,埼玉県,103,129,-26
強盗,千葉県,81,80,1
強盗,神奈川県,108,110,-2
強盗,新潟県,8,8,0
強盗,山梨県,6,3,3
強盗,長野県,10,12,-2
強盗,静岡県,34,36,-2
強盗,富山県,4,5,-1
強盗,石川県,5,8,-3
強盗,福井県,4,2,2
強盗,岐阜県,6,10,-4
強盗,愛知県,93,90,3
強盗,三重県,10,15,-5
強盗,滋賀県,8,5,3
強盗,京都府,21,20,1
強盗,大阪府,201,209,-8
強盗,兵庫県,69,65,4
強盗,奈良県,9,8,1
強盗,和歌山県,2,3,-1
強盗,鳥取県,3,5,-2
強盗,島根県,2,2,0
強盗,岡山県,10,20,-10
強盗,広島県,25,12,13
強盗,山口県,8,6,2
強盗,徳島県,2,3,-1
強盗,香川県,6,5,1
強盗,愛媛県,3,4,-1
強盗,高知県,2,3,-1
強盗,福岡県,51,41,10
強盗,佐賀県,3,5,-2
強盗,長崎県,3,2,1
強盗,熊本県,5,4,1
強盗,大分県,3,3,0
強盗,宮崎県,4,6,-2
強盗,鹿児島県,11,18,-7
強盗,沖縄県,10,18,-8
窃盗,札幌方面,10871,10533,338
窃盗,函館方面,1017,904,113
窃盗,旭川方面,1044,1208,-164
窃盗,釧路方面,973,953,20
窃盗,北見方面,342,351,-9
窃盗,青森県,2628,2970,-342
窃盗,岩手県,2257,1968,289
窃盗,宮城県,7096,7679,-583
窃盗,秋田県,1586,1599,-13
窃盗,山形県,1815,1940,-125
窃盗,福島県,6393,5675,718
窃盗,東京都,61940,59888,2052
窃盗,茨城県,16464,14789,1675
窃盗,栃木県,9423,9330,93
窃盗,群馬県,10995,9912,1083
窃盗,埼玉県,37948,36351,1597
窃盗,千葉県,28940,28287,653
窃盗,神奈川県,32643,32132,511
窃盗,新潟県,6252,5779,473
窃盗,山梨県,2638,2494,144
窃盗,長野県,5274,5360,-86
窃盗,静岡県,10625,10145,480
窃盗,富山県,3377,2931,446
窃盗,石川県,3759,3389,370
窃盗,福井県,2126,1975,151
窃盗,岐阜県,7689,7899,-210
窃盗,愛知県,34038,31487,2551
窃盗,三重県,7293,6909,384
窃盗,滋賀県,4890,4868,22
窃盗,京都府,8267,8296,-29
窃盗,大阪府,57993,58305,-312
窃盗,兵庫県,22428,22743,-315
窃盗,奈良県,3737,3700,37
窃盗,和歌山県,2409,2447,-38
窃盗,鳥取県,1524,1451,73
窃盗,島根県,1302,1187,115
窃盗,岡山県,6786,6502,284
窃盗,広島県,9548,9004,544
窃盗,山口県,3128,2627,501
窃盗,徳島県,2115,1817,298
窃盗,香川県,3203,3263,-60
窃盗,愛媛県,4704,4487,217
窃盗,高知県,2437,2327,110
窃盗,福岡県,24964,22100,2864
窃盗,佐賀県,2518,2414,104
窃盗,長崎県,2132,2129,3
窃盗,熊本県,4386,4036,350
窃盗,大分県,2261,1932,329
窃盗,宮崎県,2922,2988,-66
窃盗,鹿児島県,4511,4250,261
窃盗,沖縄県,5896,5985,-89
殺人,札幌方面,26,26,0
殺人,函館方面,3,3,0
殺人,旭川方面,8,4,4
殺人,釧路方面,6,3,3
殺人,北見方面,5,2,3
殺人,青森県,5,8,-3
殺人,岩手県,7,9,-2
殺人,宮城県,17,17,0
殺人,秋田県,5,2,3
殺人,山形県,4,4,0
殺人,福島県,13,3,10
殺人,東京都,96,94,2
殺人,茨城県,23,19,4
殺人,栃木県,11,10,1
殺人,群馬県,16,9,7
殺人,埼玉県,62,67,-5
殺人,千葉県,40,44,-4
殺人,神奈川県,63,65,-2
殺人,新潟県,11,10,1
殺人,山梨県,5,3,2
殺人,長野県,8,11,-3
殺人,静岡県,41,43,-2
殺人,富山県,3,3,0
殺人,石川県,2,6,-4
殺人,福井県,4,6,-2
殺人,岐阜県,7,6,1
殺人,愛知県,58,63,-5
殺人,三重県,10,5,5
殺人,滋賀県,17,7,10
殺人,京都府,9,10,-1
殺人,大阪府,148,137,11
殺人,兵庫県,54,47,7
殺人,奈良県,6,1,5
殺人,和歌山県,8,10,-2
殺人,鳥取県,2,3,-1
殺人,島根県,3,1,2
殺人,岡山県,7,13,-6
殺人,広島県,22,14,8
殺人,山口県,3,4,-1
殺人,徳島県,5,6,-1
